,name,price(eur),score,reviews_amount,review
153,Vila Elvina,57.0,9.3,356,Wonderful
154,MANDALOS vila,143.0,9.7,3,Exceptional
155,P7 Palanga,50.0,8.6,113,Excellent
156,Apartment Amber Sky,75.0,9.5,79,Exceptional
157,RR apartamentai Palangos centre,88.0,9.5,30,Exceptional
158,Vila Elegancija,129.0,8.8,106,Excellent
159,Amsterdam Residence,71.0,8.6,14,Excellent
160,Ramybės Oazė,76.0,9.3,3,Wonderful
161,AMI Penthouse,142.0,9.7,20,Exceptional
162,Palanga Center Studios,72.0,9.3,84,Wonderful
163,Izabelės apartamentai. Butas - studija,63.0,9.5,14,Exceptional
164,Vėžių g 26 K5-12,70.0,9.7,13,Exceptional
165,Hotel Pušų paunksnėje,251.0,9.6,365,Exceptional
166,Plytų g. Apartamentai,96.0,8.9,9,Excellent
167,Carpe diem,74.0,8.3,28,Very Good
168,Žiogų apartamentas,57.0,9.6,25,Exceptional
169,"Namelis ,,Gilė”",58.0,10.0,12,Exceptional
170,Apartamentai Vanagupės rajone,32.0,8.8,257,Excellent
171,Tatjanos apartamentai,56.0,9.4,88,Wonderful
172,Vyturiai - naujų apartamentų nuoma Šventojoje,52.0,8.9,44,Excellent
173,VILA SATERA,169.0,9.0,3,Wonderful
174,Rest in Palanga,44.0,8.7,518,Excellent
175,Vila Vakaré,63.0,8.5,137,Very Good
176,Green House,127.0,8.8,44,Excellent
177,Apartments in Palanga,78.0,8.6,5,Excellent
178,"Vila""Anna""",47.0,8.2,448,Very Good
179,Vila Romantika,70.0,9.8,156,Exceptional
180,Medziotoju Apartments,73.0,9.6,115,Exceptional
181,NeriesApartment Two Bedrooms Resort Suite iN Centrum,85.0,10.0,1,Exceptional
182,Vila „Prie tvenkinio“,74.0,8.2,23,Very Good
183,Family Apartment,87.0,9.7,7,Exceptional
184,Vėžių g 26 K5-11 buto nuoma,59.0,9.5,19,Exceptional
185,Sea House 2N,252.0,9.9,8,Exceptional
186,Apartamentai Druskininkų 7B,58.0,9.6,300,Exceptional
187,Palangos vėžiukas,52.0,9.3,6,Wonderful
188,Sveciu Namas 9,70.0,9.3,118,Wonderful
189,Pas Solą,66.0,9.7,15,Exceptional
190,NeriesApartment No.1 Holidays By J. Basanaviciaus,84.0,8.7,16,Excellent
191,Palangos vėžiukas,52.0,9.3,6,Wonderful
192,Pas Solą,66.0,9.7,15,Exceptional
193,NeriesApartment No.1 Holidays By J. Basanaviciaus,84.0,8.7,16,Excellent
194,Vaivorykštės namai,120.0,9.4,33,Wonderful
195,Gėlių apartamentai,59.0,9.8,56,Exceptional
196,AMI Vanagupės forest,152.0,9.4,19,Wonderful
197,"Svečių namai Tuopa, Palanga",45.0,9.0,1,Wonderful
198,Apartment Ieva,85.0,9.6,38,Exceptional
199,A.R.B,275.0,8.5,2,Very Good
200,LivingPalanga Meta5,54.0,8.6,28,Excellent
201,Mėlyna jūra apartamentai,111.0,10.0,2,Exceptional
202,Poilsio Laboratorija 3,65.0,9.5,33,Exceptional
203,Modern Loft Garage - Mano Jura,145.0,10.0,2,Exceptional
204,Butukas Palangoje,65.0,9.0,4,Wonderful
205,Šeimos Apartamentai Namų Jaukumas,54.0,9.1,15,Wonderful
206,6_banga,153.0,10.0,26,Exceptional
207,Info Hotel Apartments,46.0,7.8,180,Good
208,Atostogauk dabar!,97.0,8.4,16,Very Good
209,Pajūrio krantas Šventojoje,71.0,7.6,13,Good
210,"Gyvenamas namas su atskiru įėjimu svečiams. 2 aukštas, 2 kambariai (4miegamos vietos), vienas iš jų su virtuve, atskiras wc, dušas",101.0,4.0,2,Poor
211,Elija Apartment,145.0,8.1,8,Very Good
212,Butukai,40.0,9.0,122,Wonderful
213,Vila Elena,54.0,9.3,131,Wonderful
214,Medziotoju Apartments,73.0,9.6,115,Exceptional
215,Info Hotel Apartments,46.0,7.8,180,Good
216,Zidinio Liepsnele,92.0,9.7,60,Exceptional
217,Guest House Aštuoni,119.0,9.5,191,Exceptional
218,Irenos Svetaine,47.0,9.4,203,Wonderful
219,Žuvėdra,302.0,8.7,2289,Excellent
220,Apartamentai Tylios pušys,102.0,8.8,84,Excellent
